EN01 ['F', 'V', 'V'] - ['0.12', '0.52', '1.0'] 
EN02 ['F', 'F', 'V'] - ['0.0476190476190476', '0.238095238095238', '0.952380952380952'] 
EN03 ['F', 'V', 'V'] - ['0.032258064516129', '0.612903225806452', '0.903225806451613'] 
EN04 ['V', 'V', 'V'] - ['0.755102040816326', '0.673469387755102', '0.959183673469388'] 
EN05 ['F', 'V', 'V'] - ['0.0294117647058824', '0.558823529411765', '1.0'] 
EN06 ['F', 'V', 'V'] - ['0.0909090909090909', '0.568181818181818', '0.909090909090909'] 
EN07 ['V', 'V', 'V'] - ['1.0', '0.515463917525773', '0.907216494845361'] 
EN08 ['F', 'V', 'V'] - ['0.285714285714286', '0.555555555555556', '0.920634920634921'] 
EN09 ['F', 'V', 'V'] - ['0.0925925925925926', '0.592592592592593', '0.944444444444444'] 
EN10 ['F', 'V', 'V'] - ['0.0', '0.622222222222222', '0.955555555555556'] 
EN11 ['F', 'V', 'V'] - ['0.0175438596491228', '0.614035087719298', '0.894736842105263'] 
EN12 ['V', 'V', 'V'] - ['0.822222222222222', '0.644444444444444', '0.977777777777778'] 
EN13 ['V', 'V', 'V'] - ['0.721030042918455', '0.540772532188841', '0.841201716738197'] 
EN14 ['F', 'V', 'V'] - ['0.2', '0.575', '0.95'] 
EN15 ['F', 'V', 'V'] - ['0.1', '0.5', '0.9'] 
EN16 ['F', 'V', 'V'] - ['0.0833333333333333', '0.583333333333333', '0.916666666666667'] 
EN17 ['F', 'V', 'V'] - ['0.0', '0.833333333333333', '1.0'] 
EN18 ['V', 'V', 'V'] - ['0.579831932773109', '0.848739495798319', '0.840336134453782'] 
EN19 ['V', 'V', 'V'] - ['0.875', '0.604166666666667', '0.979166666666667'] 
EN20 ['F', 'F', 'V'] - ['0.0555555555555556', '0.277777777777778', '0.944444444444444'] 
EN21 ['F', 'F', 'V'] - ['0.087719298245614', '0.421052631578947', '0.947368421052632'] 
EN22 ['F', 'V', 'V'] - ['0.05', '0.75', '1.0'] 
EN23 ['F', 'F', 'V'] - ['0.0', '0.148148148148148', '0.962962962962963'] 
EN24 ['F', 'F', 'V'] - ['0.307692307692308', '0.461538461538462', '1.0'] 
EN25 ['F', 'V', 'V'] - ['0.0350877192982456', '0.508771929824561', '0.964912280701754'] 
EN51 ['F', 'V', 'V'] - ['0.0357142857142857', '0.547619047619048', '0.916666666666667'] 
EN52 ['F', 'V', 'V'] - ['0.0263157894736842', '0.710526315789474', '1.0'] 
EN53 ['F', 'F', 'V'] - ['0.0', '0.375', '1.0'] 
EN54 ['F', 'V', 'V'] - ['0.333333333333333', '0.666666666666667', '0.888888888888889'] 
EN55 ['V', 'F', 'V'] - ['0.65', '0.25', '1.0'] 
EN56 ['V', 'V', 'V'] - ['0.755555555555556', '0.511111111111111', '0.955555555555556'] 
EN57 ['F', 'V', 'V'] - ['0.11340206185567', '0.608247422680412', '0.855670103092783'] 
EN58 ['F', 'V', 'V'] - ['0.391304347826087', '0.58695652173913', '0.923913043478261'] 
EN59 ['F', 'V', 'V'] - ['0.0', '0.745098039215686', '0.980392156862745'] 
EN60 ['F', 'F', 'V'] - ['0.0', '0.4', '0.8'] 
EN61 ['F', 'V', 'V'] - ['0.02', '0.64', '0.88'] 
EN62 ['F', 'F', 'V'] - ['0.363636363636364', '0.181818181818182', '0.909090909090909'] 
EN63 ['V', 'F', 'V'] - ['1.0', '0.32', '0.736'] 
EN64 ['F', 'V', 'V'] - ['0.428571428571429', '0.5', '0.976190476190476'] 
EN65 ['F', 'F', 'V'] - ['0.111111111111111', '0.222222222222222', '0.888888888888889'] 
EN66 ['F', 'V', 'V'] - ['0.184210526315789', '0.657894736842105', '0.921052631578947'] 
EN67 ['F', 'F', 'V'] - ['0.125', '0.25', '1.0'] 
EN68 ['V', 'F', 'V'] - ['0.6', '0.0', '1.0'] 
EN69 ['F', 'V', 'V'] - ['0.25', '0.65', '0.95'] 
EN70 ['V', 'F', 'V'] - ['0.977272727272727', '0.454545454545455', '0.909090909090909'] 
EN71 ['F', 'F', 'V'] - ['0.0740740740740741', '0.407407407407407', '0.888888888888889'] 
EN72 ['F', 'V', 'V'] - ['0.0731707317073171', '0.780487804878049', '0.926829268292683'] 
EN73 ['V', 'V', 'V'] - ['0.833333333333333', '0.722222222222222', '0.972222222222222'] 
EN74 ['V', 'V', 'V'] - ['0.655172413793103', '0.724137931034483', '0.96551724137931'] 
EN75 ['V', 'V', 'V'] - ['0.551724137931034', '0.620689655172414', '0.96551724137931'] 
EN9901 ['F', 'F', 'V'] - ['0.25', '0.25', '0.75'] 
EN9902 ['F', 'F', 'V'] - ['0.0', '0.2', '1.0'] 
EN9903 ['F', 'V', 'V'] - ['0.0', '0.75', '0.75'] 
EN9904 ['F', 'V', 'V'] - ['0.0', '0.666666666666667', '1.0'] 
EN9905 ['F', 'F', 'V'] - ['0.0', '0.333333333333333', '0.888888888888889'] 
EN9906 ['F', 'V', 'V'] - ['0.0', '0.756756756756757', '0.864864864864865'] 
EN9907 ['F', 'F', 'V'] - ['0.0', '0.333333333333333', '1.0'] 
EN9908 ['F', 'V', 'V'] - ['0.0', '0.5', '1.0'] 
EN9909 ['F', 'V', 'V'] - ['0.0', '0.571428571428571', '1.0'] 
EN9910 ['F', 'F', 'V'] - ['0.0', '0.0', '0.916666666666667'] 
EN9911 ['F', 'V', 'V'] - ['0.0163934426229508', '0.655737704918033', '0.950819672131147'] 
EN9912 ['V', 'F', 'V'] - ['0.542857142857143', '0.0', '0.571428571428571'] 
EN9913 ['F', 'F', 'V'] - ['0.0384615384615385', '0.153846153846154', '0.923076923076923'] 
EN9914 ['F', 'F', 'V'] - ['0.0', '0.0888888888888889', '0.777777777777778'] 
EN9915 ['F', 'F', 'V'] - ['0.0714285714285714', '0.0357142857142857', '0.821428571428571'] 
EN9916 ['V', 'F', 'V'] - ['0.985074626865672', '0.0746268656716418', '0.552238805970149'] 
EN9917 ['F', 'V', 'V'] - ['0.0588235294117647', '0.588235294117647', '1.0'] 
EN9918 ['F', 'V', 'V'] - ['0.1', '0.5', '0.9'] 
EN9919 ['F', 'V', 'V'] - ['0.208333333333333', '0.625', '1.0'] 
EN9920 ['V', 'F', 'V'] - ['0.592592592592593', '0.0740740740740741', '0.962962962962963'] 
EN9921 ['F', 'F', 'V'] - ['0.0', '0.0', '1.0'] 
