EN101 ['F', 'F', 'V'] - ['0.222222222222222', '0.444444444444444', '1.0'] 
EN102 ['V', 'V', 'V'] - ['0.916666666666667', '0.916666666666667', '1.0'] 
EN103 ['V', 'F', 'F'] - ['1.0', '0.258064516129032', '0.032258064516129'] 
EN104 ['V', 'F', 'V'] - ['1.0', '0.363636363636364', '0.909090909090909'] 
EN105 ['V', 'V', 'V'] - ['1.0', '0.5', '1.0'] 
EN106 ['V', 'V', 'V'] - ['1.0', '0.75', '0.916666666666667'] 
EN107 ['V', 'F', 'V'] - ['0.8', '0.0', '1.0'] 
EN108 ['V', 'F', 'V'] - ['1.0', '0.466666666666667', '1.0'] 
EN109 ['V', 'V', 'F'] - ['1.0', '1.0', '0.0'] 
EN110 ['V', 'F', 'F'] - ['1.0', '0.387096774193548', '0.0'] 
EN111 ['V', 'V', 'V'] - ['1.0', '0.533333333333333', '1.0'] 
EN112 ['V', 'F', 'F'] - ['1.0', '0.28125', '0.0'] 
EN113 ['V', 'V', 'V'] - ['1.0', '0.5', '1.0'] 
EN114 ['V', 'V', 'F'] - ['1.0', '0.857142857142857', '0.0'] 
EN115 ['V', 'V', 'F'] - ['1.0', '0.789473684210526', '0.0'] 
EN116 ['V', 'V', 'F'] - ['1.0', '0.516129032258065', '0.0'] 
EN117 ['F', 'V', 'V'] - ['0.142857142857143', '0.714285714285714', '1.0'] 
EN118 ['V', 'F', 'F'] - ['1.0', '0.447368421052632', '0.0'] 
EN119 ['V', 'V', 'V'] - ['1.0', '0.857142857142857', '0.857142857142857'] 
EN120 ['V', 'F', 'F'] - ['1.0', '0.333333333333333', '0.166666666666667'] 
EN121 ['F', 'F', 'V'] - ['0.416666666666667', '0.166666666666667', '1.0'] 
EN122 ['V', 'F', 'V'] - ['1.0', '0.444444444444444', '1.0'] 
EN123 ['V', 'V', 'F'] - ['1.0', '0.546875', '0.0'] 
EN124 ['V', 'V', 'F'] - ['1.0', '1.0', '0.0'] 
EN125 ['F', 'F', 'V'] - ['0.0', '0.0', '1.0'] 
EN126 ['V', 'V', 'V'] - ['1.0', '0.9375', '0.9375'] 
EN127 ['F', 'V', 'V'] - ['0.25', '0.5', '1.0'] 
EN128 ['V', 'F', 'F'] - ['1.0', '0.368421052631579', '0.0'] 
EN129 ['V', 'V', 'F'] - ['1.0', '0.789473684210526', '0.0'] 
EN130 ['V', 'F', 'V'] - ['0.909090909090909', '0.363636363636364', '1.0'] 
EN131 ['V', 'F', 'F'] - ['1.0', '0.32258064516129', '0.419354838709677'] 
EN132 ['V', 'V', 'F'] - ['1.0', '0.631578947368421', '0.0'] 
EN133 ['F', 'F', 'V'] - ['0.272727272727273', '0.363636363636364', '1.0'] 
EN134 ['V', 'V', 'V'] - ['1.0', '0.5', '0.916666666666667'] 
EN135 ['V', 'V', 'F'] - ['1.0', '0.625', '0.125'] 
EN136 ['V', 'F', 'F'] - ['1.0', '0.40625', '0.0'] 
EN137 ['V', 'V', 'V'] - ['1.0', '0.8', '1.0'] 
EN138 ['V', 'V', 'V'] - ['1.0', '0.545454545454545', '0.909090909090909'] 
EN139 ['V', 'F', 'V'] - ['1.0', '0.384615384615385', '1.0'] 
EN140 ['V', 'F', 'V'] - ['1.0', '0.444444444444444', '0.888888888888889'] 
EN141 ['V', 'V', 'F'] - ['1.0', '0.516129032258065', '0.0'] 
EN142 ['V', 'F', 'F'] - ['1.0', '0.384615384615385', '0.0769230769230769'] 
EN143 ['V', 'F', 'F'] - ['1.0', '0.447368421052632', '0.0'] 
EN144 ['V', 'V', 'F'] - ['1.0', '1.0', '0.0'] 
EN145 ['V', 'F', 'F'] - ['1.0', '0.464285714285714', '0.0'] 
EN146 ['V', 'F', 'F'] - ['1.0', '0.4375', '0.0625'] 
