EN01 ['F', 'V', 'V'] - ['0.0', '0.52', '1.0'] 
EN02 ['F', 'F', 'V'] - ['0.0', '0.428571428571429', '1.0'] 
EN03 ['F', 'V', 'V'] - ['0.0', '0.580645161290323', '1.0'] 
EN04 ['F', 'F', 'V'] - ['0.387755102040816', '0.448979591836735', '1.0'] 
EN05 ['F', 'V', 'V'] - ['0.0', '0.617647058823529', '1.0'] 
EN06 ['F', 'V', 'V'] - ['0.0', '0.636363636363636', '1.0'] 
EN07 ['V', 'F', 'V'] - ['0.958762886597938', '0.381443298969072', '0.979381443298969'] 
EN08 ['F', 'F', 'V'] - ['0.0', '0.492063492063492', '1.0'] 
EN09 ['F', 'F', 'V'] - ['0.0', '0.259259259259259', '1.0'] 
EN10 ['F', 'F', 'V'] - ['0.0', '0.488888888888889', '1.0'] 
EN11 ['F', 'V', 'V'] - ['0.0', '0.649122807017544', '1.0'] 
EN12 ['F', 'F', 'V'] - ['0.444444444444444', '0.477777777777778', '1.0'] 
EN13 ['F', 'F', 'V'] - ['0.0128755364806867', '0.493562231759657', '1.0'] 
EN14 ['F', 'V', 'V'] - ['0.0', '0.625', '1.0'] 
EN15 ['F', 'V', 'V'] - ['0.0', '0.5', '1.0'] 
EN16 ['F', 'V', 'V'] - ['0.0', '0.583333333333333', '1.0'] 
EN17 ['F', 'V', 'V'] - ['0.0', '0.666666666666667', '1.0'] 
EN18 ['V', 'V', 'V'] - ['0.680672268907563', '0.873949579831933', '1.0'] 
EN19 ['V', 'F', 'V'] - ['0.791666666666667', '0.208333333333333', '1.0'] 
EN20 ['F', 'F', 'V'] - ['0.0', '0.333333333333333', '1.0'] 
EN21 ['F', 'V', 'V'] - ['0.0', '0.508771929824561', '1.0'] 
EN22 ['F', 'V', 'V'] - ['0.05', '0.8', '1.0'] 
EN23 ['F', 'F', 'V'] - ['0.0', '0.407407407407407', '1.0'] 
EN24 ['V', 'F', 'V'] - ['0.769230769230769', '0.307692307692308', '1.0'] 
EN25 ['F', 'F', 'V'] - ['0.0', '0.368421052631579', '1.0'] 
EN51 ['F', 'V', 'V'] - ['0.0', '0.678571428571429', '1.0'] 
EN52 ['F', 'V', 'V'] - ['0.105263157894737', '0.578947368421053', '1.0'] 
EN53 ['F', 'F', 'V'] - ['0.0', '0.25', '1.0'] 
EN54 ['F', 'V', 'V'] - ['0.0555555555555556', '0.5', '1.0'] 
EN55 ['F', 'F', 'V'] - ['0.4', '0.0', '1.0'] 
EN56 ['F', 'V', 'V'] - ['0.333333333333333', '0.6', '1.0'] 
EN57 ['F', 'V', 'V'] - ['0.0', '0.628865979381443', '1.0'] 
EN58 ['F', 'F', 'V'] - ['0.0', '0.478260869565217', '1.0'] 
EN59 ['F', 'F', 'V'] - ['0.0', '0.450980392156863', '1.0'] 
EN60 ['F', 'F', 'V'] - ['0.0', '0.44', '1.0'] 
EN61 ['F', 'V', 'V'] - ['0.0', '0.68', '1.0'] 
EN62 ['V', 'F', 'V'] - ['0.909090909090909', '0.0', '1.0'] 
EN63 ['V', 'F', 'V'] - ['0.976', '0.392', '0.992'] 
EN64 ['V', 'F', 'V'] - ['0.5', '0.380952380952381', '1.0'] 
EN65 ['F', 'F', 'V'] - ['0.222222222222222', '0.111111111111111', '1.0'] 
EN66 ['F', 'V', 'V'] - ['0.0', '0.552631578947368', '1.0'] 
EN67 ['F', 'F', 'V'] - ['0.125', '0.125', '1.0'] 
EN68 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN69 ['F', 'V', 'V'] - ['0.45', '0.55', '1.0'] 
EN70 ['V', 'F', 'V'] - ['0.977272727272727', '0.409090909090909', '1.0'] 
EN71 ['F', 'F', 'V'] - ['0.0', '0.296296296296296', '1.0'] 
EN72 ['F', 'V', 'V'] - ['0.024390243902439', '0.585365853658537', '1.0'] 
EN73 ['V', 'F', 'V'] - ['0.916666666666667', '0.333333333333333', '1.0'] 
EN74 ['F', 'F', 'V'] - ['0.448275862068966', '0.344827586206897', '1.0'] 
EN75 ['F', 'V', 'V'] - ['0.172413793103448', '0.551724137931034', '1.0'] 
EN9901 ['F', 'F', 'V'] - ['0.0', '0.25', '1.0'] 
EN9902 ['F', 'F', 'V'] - ['0.0', '0.2', '1.0'] 
EN9903 ['F', 'V', 'V'] - ['0.0', '1.0', '1.0'] 
EN9904 ['F', 'V', 'V'] - ['0.0', '1.0', '1.0'] 
EN9905 ['F', 'V', 'V'] - ['0.0', '0.888888888888889', '1.0'] 
EN9906 ['F', 'V', 'V'] - ['0.0', '0.837837837837838', '1.0'] 
EN9907 ['F', 'F', 'V'] - ['0.0', '0.333333333333333', '1.0'] 
EN9908 ['F', 'V', 'V'] - ['0.0', '0.9375', '1.0'] 
EN9909 ['F', 'F', 'V'] - ['0.0', '0.428571428571429', '1.0'] 
EN9910 ['F', 'F', 'V'] - ['0.0', '0.0', '1.0'] 
EN9911 ['F', 'V', 'V'] - ['0.0', '0.672131147540984', '0.983606557377049'] 
EN9912 ['F', 'F', 'V'] - ['0.0', '0.0', '1.0'] 
EN9913 ['F', 'F', 'V'] - ['0.0', '0.153846153846154', '1.0'] 
EN9914 ['F', 'F', 'V'] - ['0.0', '0.311111111111111', '1.0'] 
EN9915 ['F', 'F', 'V'] - ['0.0', '0.0714285714285714', '1.0'] 
EN9916 ['F', 'F', 'V'] - ['0.402985074626866', '0.388059701492537', '1.0'] 
EN9917 ['F', 'V', 'V'] - ['0.0', '0.588235294117647', '1.0'] 
EN9918 ['F', 'V', 'V'] - ['0.0', '0.7', '1.0'] 
EN9919 ['F', 'V', 'V'] - ['0.0416666666666667', '0.625', '1.0'] 
EN9920 ['F', 'F', 'V'] - ['0.037037037037037', '0.037037037037037', '1.0'] 
EN9921 ['F', 'F', 'V'] - ['0.0', '0.0', '1.0'] 
EN9922 ['F', 'F', 'V'] - ['0.0', '0.0', '1.0'] 
EN9923 ['F', 'V', 'V'] - ['0.0', '0.521739130434783', '1.0'] 
EN9924 ['V', 'F', 'V'] - ['1.0', '0.391304347826087', '1.0'] 
EN9925 ['F', 'V', 'V'] - ['0.0', '1.0', '1.0'] 
EN9951 ['F', 'V', 'V'] - ['0.0', '0.645569620253165', '1.0'] 
EN9952 ['F', 'V', 'V'] - ['0.443037974683544', '0.645569620253165', '1.0'] 
EN9953 ['V', 'F', 'V'] - ['0.734177215189873', '0.0126582278481013', '0.658227848101266'] 
EN9954 ['V', 'F', 'V'] - ['0.607594936708861', '0.0126582278481013', '0.734177215189873'] 
EN9955 ['V', 'F', 'F'] - ['0.987341772151899', '0.0126582278481013', '0.0632911392405063'] 
EN9956 ['F', 'F', 'V'] - ['0.278481012658228', '0.151898734177215', '1.0'] 
EN9957 ['F', 'F', 'V'] - ['0.0', '0.189873417721519', '1.0'] 
EN9958 ['F', 'F', 'V'] - ['0.0', '0.0759493670886076', '1.0'] 
EN9959 ['F', 'F', 'V'] - ['0.0', '0.151898734177215', '1.0'] 
EN9960 ['F', 'F', 'V'] - ['0.0', '0.0886075949367089', '1.0'] 
EN9961 ['F', 'V', 'V'] - ['0.0', '0.645569620253165', '1.0'] 
EN9962 ['V', 'F', 'F'] - ['1.0', '0.151898734177215', '0.0632911392405063'] 
EN9963 ['F', 'F', 'V'] - ['0.0', '0.392405063291139', '1.0'] 
EN9964 ['V', 'F', 'V'] - ['0.974683544303797', '0.316455696202532', '1.0'] 
EN9965 ['V', 'F', 'F'] - ['0.949367088607595', '0.0', '0.0886075949367089'] 
EN9966 ['F', 'F', 'V'] - ['0.0', '0.189873417721519', '1.0'] 
EN9967 ['V', 'F', 'F'] - ['1.0', '0.0886075949367089', '0.0'] 
EN9968 ['V', 'F', 'F'] - ['1.0', '0.0126582278481013', '0.0'] 
EN9969 ['V', 'F', 'V'] - ['0.949367088607595', '0.0126582278481013', '0.962025316455696'] 
EN9970 ['V', 'F', 'V'] - ['0.860759493670886', '0.0506329113924051', '0.987341772151899'] 
EN9971 ['V', 'F', 'V'] - ['0.886075949367089', '0.0759493670886076', '1.0'] 
EN9972 ['F', 'F', 'V'] - ['0.379746835443038', '0.0506329113924051', '1.0'] 
EN9973 ['V', 'F', 'V'] - ['0.632911392405063', '0.0506329113924051', '1.0'] 
EN9974 ['F', 'F', 'V'] - ['0.405063291139241', '0.0126582278481013', '1.0'] 
EN9975 ['F', 'F', 'V'] - ['0.291139240506329', '0.0759493670886076', '1.0'] 
